"Gene","STRING_id","Degree","Cox_Pvalue"
"AURKA","9606.ENSP00000216911",8,0.000609784952509117
"CDC20","9606.ENSP00000361540",7,6.33268466437125e-06
"COL10A1","9606.ENSP00000327368",3,0.0300803891993254
"FABP4","9606.ENSP00000256104",8,0.0340814862552827
"FOXA1","9606.ENSP00000250448",4,0.000496975146837742
"GATA3","9606.ENSP00000368632",4,0.00280411455562155
"GPAM","9606.ENSP00000265276",4,0.00956991951450427
"MAOA","9606.ENSP00000340684",1,0.0273254862375093
"MYB","9606.ENSP00000339992",1,0.00139276250575724
"PLIN1","9606.ENSP00000300055",8,0.0189920153257027
"SDC1","9606.ENSP00000370542",1,0.0211288056222643
"SOX4","9606.ENSP00000244745",2,0.00513952524398862
