"STRING_id","Degree","Gene"
"9606.ENSP00000287820",11,"PPARG"
"9606.ENSP00000261769",10,"CDH1"
"9606.ENSP00000312652",10,"LEP"
"9606.ENSP00000389814",9,"ADIPOQ"
"9606.ENSP00000216911",8,"AURKA"
"9606.ENSP00000256104",8,"FABP4"
"9606.ENSP00000263735",8,"EPCAM"
"9606.ENSP00000300055",8,"PLIN1"
"9606.ENSP00000353770",8,"RRM2"
"9606.ENSP00000411532",8,"TOP2A"
"9606.ENSP00000355124",7,"KRT19"
"9606.ENSP00000361540",7,"CDC20"
"9606.ENSP00000376637",7,"IGF1"
"9606.ENSP00000415743",7,"CD36"
"9606.ENSP00000499238",7,"NUSAP1"
"9606.ENSP00000265748",6,"ANLN"
"9606.ENSP00000300035",6,"PCLAF"
"9606.ENSP00000329243",6,"KRT7"
"9606.ENSP00000373328",6,"CIDEC"
"9606.ENSP00000377793",6,"PRC1"
"9606.ENSP00000449404",6,"KRT8"
"9606.ENSP00000373489",5,"KRT18"
"9606.ENSP00000497642",5,"LPL"
"9606.ENSP00000265276",4,"GPAM"
"9606.ENSP00000250448",4,"FOXA1"
"9606.ENSP00000369129",4,"DSP"
"9606.ENSP00000320147",4,"EZH2"
"9606.ENSP00000319814",4,"PCK1"
"9606.ENSP00000368632",4,"GATA3"
"9606.ENSP00000479617",4,"UHRF1"
"9606.ENSP00000484824",4,"MUC1"
"9606.ENSP00000222271",3,"COMP"
"9606.ENSP00000327368",3,"COL10A1"
"9606.ENSP00000267101",3,"ERBB3"
"9606.ENSP00000228027",2,"DGAT2"
"9606.ENSP00000301244",2,"SPINT2"
"9606.ENSP00000244745",2,"SOX4"
"9606.ENSP00000251595",2,"HBA2"
"9606.ENSP00000215743",2,"MMP11"
"9606.ENSP00000319730",2,"PRSS8"
"9606.ENSP00000360522",2,"RBP4"
"9606.ENSP00000363149",2,"SPDEF"
"9606.ENSP00000322421",2,"HBA1"
"9606.ENSP00000359114",2,"COL11A1"
"9606.ENSP00000391490",2,"AGR2"
"9606.ENSP00000405738",2,"ESRP1"
"9606.ENSP00000481841",2,"CD24"
"9606.ENSP00000483403",2,"GHR"
"9606.ENSP00000488481",2,"PLIN4"
"9606.ENSP00000494175",2,"HBB"
"9606.ENSP00000242208",1,"INHBA"
"9606.ENSP00000281030",1,"THRSP"
"9606.ENSP00000306606",1,"ADH1B"
"9606.ENSP00000339992",1,"MYB"
"9606.ENSP00000370129",1,"AKR1C2"
"9606.ENSP00000360269",1,"TACSTD2"
"9606.ENSP00000374424",1,"ARHGAP8"
"9606.ENSP00000354376",1,"RAB25"
"9606.ENSP00000243349",1,"ACVR1C"
"9606.ENSP00000301149",1,"GPD1"
"9606.ENSP00000340684",1,"MAOA"
"9606.ENSP00000353292",1,"SCNN1A"
"9606.ENSP00000370254",1,"AKR1C1"
"9606.ENSP00000370542",1,"SDC1"
"9606.ENSP00000384848",1,"PRR5"
"9606.ENSP00000501092",1,"TFAP2A"
